"Station_ID","YEARMODA","Year","Month","Day","Tmin","Tmean","Tmax","Rainfall"
"04166",19900804,1990,8,4,13.1,23.8,31.6,0
"04166",19900805,1990,8,5,14.2,23.2,34.6,2.9
"04166",19900806,1990,8,6,15.4,17.3,23.6,0
"04166",19900807,1990,8,7,10.3,14.4,19.6,0
"04166",19900808,1990,8,8,6.4,15.2,22.9,0
"04166",19900809,1990,8,9,7.7,16.9,25.6,0
"04166",19900810,1990,8,10,9.1,20.4,29.6,0
"04166",19900811,1990,8,11,12.3,22.2,29.4,0
"04166",19900812,1990,8,12,12.6,23,32.9,0
"04166",19900813,1990,8,13,15.2,21,33.1,4.5
"04166",19900814,1990,8,14,15.3,17.9,22.1,23.5
"04166",19900815,1990,8,15,14.4,19.2,26.6,0
"04166",19900816,1990,8,16,13.8,18.6,26.9,8.3
"04166",19900817,1990,8,17,12.4,14.1,19.8,0
"04166",19900818,1990,8,18,7,16.5,23.6,0.5
"04166",19900819,1990,8,19,15,19.5,25.7,0
"04166",19900820,1990,8,20,12.6,18.9,26,0
"04166",19900821,1990,8,21,12.3,15.7,19.4,0.9
"04166",19900822,1990,8,22,11.5,14.2,19.7,0
"04166",19900823,1990,8,23,6.8,16.1,24.2,0
"04166",19900824,1990,8,24,9.1,20.2,29.9,0
"04166",19900825,1990,8,25,14.8,20.5,28.1,1.3
"04166",19900826,1990,8,26,15.8,18.8,24.6,0
"04166",19900827,1990,8,27,14.4,20.6,26.9,0
"04166",19900828,1990,8,28,14.5,21.1,28.9,0
"04166",19900829,1990,8,29,14.3,18.4,28.4,4.4
"04166",19900830,1990,8,30,14.1,20.1,27.9,0.7
"04166",19900831,1990,8,31,12.4,13.7,18.8,3.2
"04166",19900901,1990,9,1,10.2,12.9,16.8,0
"04166",19900902,1990,9,2,7.6,14.5,19.5,2.4
"04166",19900903,1990,9,3,14.4,15.1,16.3,4.4
"04166",19900904,1990,9,4,14.4,17,24.6,10
"04166",19900905,1990,9,5,11.7,12.9,17.3,0
"04166",19900906,1990,9,6,6.2,14.9,21,1.3
"04166",19900907,1990,9,7,10.3,12.2,16.5,6.2
"04166",19900908,1990,9,8,9.5,11.3,16.6,0.9
"04166",19900909,1990,9,9,7.4,11.6,17.2,0
"04166",19900910,1990,9,10,5.3,11.7,16.7,4.3
"04166",19900911,1990,9,11,9.6,11.2,14.5,0
"04166",19900912,1990,9,12,10.4,13,18.4,0
"04166",19900913,1990,9,13,5.9,12.2,19.7,0
"04166",19900914,1990,9,14,4,13.6,22.4,0
"04166",19900915,1990,9,15,10.2,12.8,19.4,0
"04166",19900916,1990,9,16,8.2,12.2,17.5,0
"04166",19900917,1990,9,17,4.1,13.9,21.8,0
"04166",19900918,1990,9,18,9.5,12.2,18.5,0
"04166",19900919,1990,9,19,6.1,15.6,23,0
"04166",19900920,1990,9,20,11.5,13.5,18.6,0
"04166",19900921,1990,9,21,9.8,12.4,16.9,9.5
"04166",19900922,1990,9,22,9,14.4,19.3,24.9
"04166",19900923,1990,9,23,11.3,13.6,18.9,7.3
"04166",19900924,1990,9,24,7.6,9.9,15.2,0
"04166",19900925,1990,9,25,6.4,11.6,17.4,0
"04166",19900926,1990,9,26,4,10.6,15,0
"04166",19900927,1990,9,27,5,9.2,14.2,0
"04166",19900928,1990,9,28,4,9.2,16.6,0
"04166",19900929,1990,9,29,3.4,12,21.8,0
"04166",19900930,1990,9,30,9.1,16.2,23.3,17.9
"04166",19901001,1990,10,1,13.4,15,20.4,20.5
"04166",19901002,1990,10,2,12.3,14,18,0
"04166",19901003,1990,10,3,8.4,17.2,24.6,1.8
"04166",19901004,1990,10,4,7.2,9.4,17.8,12.9
"04166",19901005,1990,10,5,3.4,8.4,15,0
"04166",19901006,1990,10,6,7.6,14,20.6,0
"04166",19901007,1990,10,7,11.9,13.8,17.8,2.8
"04166",19901008,1990,10,8,4.6,6.8,12.7,0
"04166",19901009,1990,10,9,-0.4,6.8,13.8,0
"04166",19901010,1990,10,10,1.7,8,16.6,0
"04166",19901011,1990,10,11,2.2,9.7,19.6,0
"04166",19901012,1990,10,12,4,14,23.5,0
"04166",19901013,1990,10,13,10,14.7,23.6,0
"04166",19901014,1990,10,14,8.6,14.4,23.6,0
"04166",19901015,1990,10,15,8,14.2,22.6,0
"04166",19901016,1990,10,16,10.8,15.6,20.6,0.2
"04166",19901017,1990,10,17,11.9,14,19.6,0.1
"04166",19901018,1990,10,18,11.7,13.8,19.8,0.3
"04166",19901019,1990,10,19,7.6,13.3,19.4,0
"04166",19901020,1990,10,20,10.2,11.8,14.6,0
"04166",19901021,1990,10,21,7.8,9.3,11.7,0
"04166",19901022,1990,10,22,2.2,5.9,11.2,0
"04166",19901023,1990,10,23,-1.8,3.8,12.3,0
"04166",19901024,1990,10,24,-0.6,8.2,16.8,0
"04166",19901025,1990,10,25,2.6,10.2,15.6,0
"04166",19901026,1990,10,26,4.4,10.2,16.3,0.8
"04166",19901027,1990,10,27,5.5,8,12.6,0.1
"04166",19901028,1990,10,28,3.6,10.4,15,9.3
"04166",19901029,1990,10,29,6.8,7.8,11.8,9.8
"04166",19901030,1990,10,30,7.2,8.7,11.7,0.7
"04166",19901031,1990,10,31,7.5,10.1,12.1,0.3
"04166",19901101,1990,11,1,4.6,6.1,12,0.4
"04166",19901102,1990,11,2,4.6,6,10.6,0.9
"04166",19901103,1990,11,3,1.1,4.4,5.8,3.2
"04166",19901104,1990,11,4,3.4,4.4,7,6.5
"04166",19901105,1990,11,5,3.3,3.8,5.6,0
"04166",19901106,1990,11,6,-1.1,0.6,5.2,0
"04166",19901107,1990,11,7,-3.4,-1,4,0
"04166",19901108,1990,11,8,-5.4,-0.2,3.7,0
"04166",19901109,1990,11,9,-2.5,-0.4,3.6,0
"04166",19901110,1990,11,10,-3.2,5.8,9.7,0.5
"04166",19901111,1990,11,11,7,8.7,10.5,7.4
"04166",19901112,1990,11,12,5.5,6.4,8.6,0
"04166",19901113,1990,11,13,2.1,6.4,9,5.4
"04166",19901114,1990,11,14,7.1,9.7,10.8,8.8
"04166",19901115,1990,11,15,6.5,7.6,10.1,8.4
"04166",19901116,1990,11,16,3.6,8.5,11.2,0
"04166",19901117,1990,11,17,9.2,12.5,13.6,0
"04166",19901118,1990,11,18,6.8,9,12.2,6.4
"04166",19901119,1990,11,19,5,6.4,7.1,10.7
"04166",19901120,1990,11,20,6,11,14,5.2
"04166",19901121,1990,11,21,4.7,5.6,11.6,4.8
"04166",19901122,1990,11,22,2.1,3.3,5,23.9
"04166",19901123,1990,11,23,0.2,0.9,3.8,0
"04166",19901124,1990,11,24,-1,1.4,4.8,0
"04166",19901125,1990,11,25,-0.9,2,4.5,0.4
"04166",19901126,1990,11,26,-0.6,1.9,8.4,0
"04166",19901127,1990,11,27,-3.4,-1.1,0.2,2.5
"04166",19901128,1990,11,28,-0.9,1.2,1.6,0.3
"04166",19901129,1990,11,29,1.5,2.4,3,2.8
"04166",19901130,1990,11,30,-1.7,0.4,2.6,1.4
"04166",19901201,1990,12,1,-5.4,-2.5,-0.9,0
"04166",19901202,1990,12,2,-2.5,0.1,1,0
"04166",19901203,1990,12,3,0.6,1.3,2.7,0
"04166",19901204,1990,12,4,0.6,2.8,3.8,3.2
"04166",19901205,1990,12,5,0.3,1.3,3.2,0
"04166",19901206,1990,12,6,-5.9,-4,0.6,0
"04166",19901207,1990,12,7,-9.4,-5,1,0
"04166",19901208,1990,12,8,-10.2,-2,0.9,0
"04166",19901209,1990,12,9,-2.6,-0.8,0.9,0
"04166",19901210,1990,12,10,-1.4,-0.8,-0.5,5.2
"04166",19901211,1990,12,11,-8.3,-2.7,0.4,0
"04166",19901212,1990,12,12,-1.2,0.8,1.8,6.5
"04166",19901213,1990,12,13,-0.6,0,1,1.8
"04166",19901214,1990,12,14,-1.7,0.3,1.1,1.1
"04166",19901215,1990,12,15,-2.2,-1.8,0.4,0
"04166",19901216,1990,12,16,-2.6,-1.4,-0.8,0.2
"04166",19901217,1990,12,17,-1.6,-1,-0.3,0
"04166",19901218,1990,12,18,-2.4,-0.9,0.6,0
"04166",19901219,1990,12,19,-2.4,-1.2,1.5,0.4
"04166",19901220,1990,12,20,-2.3,0,2,0
"04166",19901221,1990,12,21,-0.4,1.5,1.8,6
"04166",19901222,1990,12,22,1.2,3.6,5.5,0.5
"04166",19901223,1990,12,23,2.7,3.7,6,0
"04166",19901224,1990,12,24,0.9,1.6,3.8,0
"04166",19901225,1990,12,25,-1.4,0,2.5,0.6
"04166",19901226,1990,12,26,-2.5,4.4,6,0.3
"04166",19901227,1990,12,27,3,4.6,7.8,2.1
"04166",19901228,1990,12,28,-1.1,1.6,7.5,0
"04166",19901229,1990,12,29,0,11.2,12.8,0
"04166",19901230,1990,12,30,6.1,8.1,13.7,14.2
"04166",19901231,1990,12,31,5.4,7.2,7.8,6.1
"04166",19910101,1991,1,1,2,3.8,8.6,0.3
"04166",19910102,1991,1,2,0.6,8.2,9.6,1.4
"04166",19910103,1991,1,3,6.4,9,12.8,0
"04166",19910104,1991,1,4,5.2,7.2,10.6,0.8
"04166",19910105,1991,1,5,3,6.2,8,0.7
"04166",19910106,1991,1,6,1.4,3.8,7.5,1.1
"04166",19910107,1991,1,7,1.8,7,9,5.8
"04166",19910108,1991,1,8,1.4,6.5,10.2,0
"04166",19910109,1991,1,9,2.2,8.4,11.2,0
"04166",19910110,1991,1,10,8,14.3,18.5,1
"04166",19910111,1991,1,11,7.5,9.2,12.8,5.4
"04166",19910112,1991,1,12,3.6,4.8,8.2,0.9
"04166",19910113,1991,1,13,0.8,1.8,3.6,1.4
"04166",19910114,1991,1,14,-0.4,1.3,2.8,0
"04166",19910115,1991,1,15,-1.6,0,4,0
"04166",19910116,1991,1,16,-7.6,-4.3,0.3,0
"04166",19910117,1991,1,17,-7.6,-3.6,2.2,0
"04166",19910118,1991,1,18,-9.9,-5.2,0.6,0
"04166",19910119,1991,1,19,-10.4,-2.1,2,3.1
"04166",19910120,1991,1,20,0,1.2,2,0.1
"04166",19910121,1991,1,21,-0.3,0.4,1.7,4.2
"04166",19910122,1991,1,22,0.1,1.3,2.2,0
"04166",19910123,1991,1,23,-2,-0.5,1.4,0
"04166",19910124,1991,1,24,-1.4,-0.4,2.1,0
"04166",19910125,1991,1,25,-6.3,-1.6,2,0
"04166",19910126,1991,1,26,-3.6,-2,-0.9,0
"04166",19910127,1991,1,27,-3,-2.3,-1.4,0
"04166",19910128,1991,1,28,-3.8,-2,2,0
"04166",19910129,1991,1,29,-10,-5.5,0,0
"04166",19910130,1991,1,30,-10.2,-6.1,-0.3,0
"04166",19910131,1991,1,31,-10.8,-7.9,-2.8,0
"04166",19910201,1991,2,1,-11.4,-6.2,-2,0
"04166",19910202,1991,2,2,-11.2,-4.8,1.5,0
"04166",19910203,1991,2,3,-7.8,-1,1.8,0
"04166",19910204,1991,2,4,-5.2,-2.8,2.4,0
"04166",19910205,1991,2,5,-10,-5.9,-3.2,1.5
"04166",19910206,1991,2,6,-13.6,-11.9,-6.4,0
"04166",19910207,1991,2,7,-15.2,-8.7,-6.2,0
"04166",19910208,1991,2,8,-6.3,-4.6,-1.6,0.6
"04166",19910209,1991,2,9,-5.5,-2.6,-0.6,1.5
"04166",19910210,1991,2,10,-3.2,-0.4,4.3,2.2
"04166",19910211,1991,2,11,-7.5,-3.8,0,0
"04166",19910212,1991,2,12,-9.4,-4.2,-0.2,0.3
"04166",19910213,1991,2,13,-6.4,-4.4,-1.8,1.9
"04166",19910214,1991,2,14,-5.6,-3.6,-1.6,1.1
"04166",19910215,1991,2,15,-3.7,-1,1,0.4
"04166",19910216,1991,2,16,-0.9,1.8,4,0.4
"04166",19910217,1991,2,17,-4.8,-2.4,3.5,0
"04166",19910218,1991,2,18,-8.8,-1.6,1.3,0
"04166",19910219,1991,2,19,-1.2,2.6,10.8,0
"04166",19910220,1991,2,20,-4,2.2,11,0
"04166",19910221,1991,2,21,-3.7,1.5,10.2,0.9
"04166",19910222,1991,2,22,-2.4,1.7,8.7,0
"04166",19910223,1991,2,23,-3.2,4.3,9.5,0
"04166",19910224,1991,2,24,-1.7,6.4,17.1,0
"04166",19910225,1991,2,25,-0.6,6.4,15.8,0
"04166",19910226,1991,2,26,-1.5,7,14.8,0
"04166",19910227,1991,2,27,-1.6,4.2,11.5,0
"04166",19910228,1991,2,28,2,3.4,4.5,3
"04166",19910301,1991,3,1,0.2,2.4,6.8,0
"04166",19910302,1991,3,2,0.6,5.1,10,1.6
"04166",19910303,1991,3,3,4.7,7.8,10.9,0
"04166",19910304,1991,3,4,1.5,6,12,0
"04166",19910305,1991,3,5,2.6,9,15.2,0
"04166",19910306,1991,3,6,5.2,11.5,17.6,0
"04166",19910307,1991,3,7,6.3,10,14.7,0
"04166",19910308,1991,3,8,3.6,8.8,17.4,0
"04166",19910309,1991,3,9,3.4,8,11.6,8.1
"04166",19910310,1991,3,10,6.7,9.8,13.5,0
"04166",19910311,1991,3,11,3.2,8.4,11.6,0
"04166",19910312,1991,3,12,2.6,7.6,15.3,0
"04166",19910313,1991,3,13,-0.6,7.7,15.9,0
"04166",19910314,1991,3,14,-1,7.1,16.6,0
"04166",19910315,1991,3,15,3.3,9.2,18.2,0
"04166",19910316,1991,3,16,1,8.5,18.7,0
"04166",19910317,1991,3,17,1.8,9.6,15.3,0
"04166",19910318,1991,3,18,5.8,9.4,14.4,0
"04166",19910319,1991,3,19,2.7,8.7,12.6,11.1
"04166",19910320,1991,3,20,9.8,12.6,15.9,0
"04166",19910321,1991,3,21,10.5,14,19.8,5.6
