"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"69",10,-19,6,0.98286435786174,0.171077295070213
"70",10,-19,7,0.891956570069095,0.285076679523857
"71",10,-19,8,0.923297013263041,0.432153324904256
"72",10,-19,9,1.01546748197462,0.614139530433258
"73",10,-19,10,1.01562850671723,0.829043173127851
"74",10,-19,11,0.993228681402357,1.07418026147872
"75",10,-19,12,0.903652894752606,1.34679182681723
"76",10,-19,13,0.902147555114061,1.6446680035069
"77",10,-19,14,0.899830116038243,1.96548221130439
"78",10,-19,15,0.978643361683886,2.30653203527353
"79",10,-19,16,1.0070220981261,2.66456002361338
"80",10,-19,17,0.997905896284643,3.03587652941663
"81",10,-19,18,0.986401359201257,3.41653345249028
"82",10,-19,19,0.857046943125899,3.80217273176652
"83",10,-19,20,0.586603417785616,4.18839609545582
"84",10,-19,21,0.427663402914049,4.57100173084563
"85",10,-19,22,0.37218755089214,4.94598279097976
"86",10,-19,23,0.0645845491870834,5.30949119019393
"87",10,-19,24,0,5.6580891765521
"88",10,-19,25,0,5.98866238130857
"89",10,-19,26,0,6.29839966186074
"90",10,-19,27,0,6.58470931500309
"91",10,-19,28,0,6.84501427407734
"92",10,-19,29,0,6.90595429112409
"93",10,-19,30,0,6.51616940209369
"94",10,-18,-15,0,0
"95",10,-18,-14,0,0
"96",10,-18,-13,0,0
"97",10,-18,-12,0,0
"98",10,-18,-11,0,0
"99",10,-18,-10,0,0
"100",10,-18,-9,0,0
"101",10,-18,-8,0,0
"102",10,-18,-7,0,0
"103",10,-18,-6,0,0
"104",10,-18,-5,0,0
"105",10,-18,-4,0,0
"106",10,-18,-3,0,0
"107",10,-18,-2,0,0
"108",10,-18,-1,6.77122748107686e-09,0
"109",10,-18,0,3.96366925026741e-06,0
"110",10,-18,1,0.00187582392246421,0
"111",10,-18,2,0.454761177960666,5.43397350789565e-05
"112",10,-18,3,0.911817029138661,0.00740492827186115
"113",10,-18,4,0.779973181775839,0.0345385602346667
"114",10,-18,5,0.985438807293375,0.089220505022122
"115",10,-18,6,0.938723861609994,0.174535496977178
"116",10,-18,7,0.824401754991702,0.290473391691228
"117",10,-18,8,0.992054529862577,0.440777399711878
"118",10,-18,9,1.02541676503206,0.62613106616313
"119",10,-18,10,1.0241790451523,0.84427205050253
"120",10,-18,11,0.932887470394617,1.09251877177523
"121",10,-18,12,0.8998828208454,1.36849674151753
"122",10,-18,13,0.919583667161332,1.6701935631595
"123",10,-18,14,0.928151183022238,1.99524524175029
"124",10,-18,15,1.01882921611521,2.34079679565852
"125",10,-18,16,1.01471839298474,2.70335994022995
"126",10,-18,17,1.00411709444329,3.07917102709002
"127",10,-18,18,0.992158689683289,3.46397374275192
"128",10,-18,19,0.867124811520742,3.85334151079431
"129",10,-18,20,0.690429029450316,4.24297456340527
"130",10,-18,21,0.476140700142116,4.62875846082969
