"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-6,27,0,160.998929977916
10,-6,28,0,157.136045945446
10,-6,29,0,148.946253404307
10,-6,30,0,140.682754980948
10,-5,-5,4.01687485410733e-05,0
10,-5,-4,0.000100166082211286,0
10,-5,-3,0.000338570342390605,0
10,-5,-2,0.00136330207471095,0
10,-5,-1,0.0058954929819765,0
10,-5,0,0.0257522257374521,0
10,-5,1,0.103949977092407,0
10,-5,2,0.316343379218233,0
10,-5,3,0.546969148145218,0
10,-5,4,0.589927102401981,0
10,-5,5,0.629402910541343,0.263026739419054
10,-5,6,0.598968416233504,1.43511069689162
10,-5,7,0.665261854668273,3.75772544464132
10,-5,8,0.631987189833948,7.3700493910165
10,-5,9,0.637169184162542,12.2320498432615
10,-5,10,0.686404288177131,18.3335605714182
10,-5,11,0.673532780401444,25.6194898654527
10,-5,12,0.629634952410768,33.9707229040754
10,-5,13,0.611107900528315,43.2399311230051
10,-5,14,0.604686617322968,53.2813616313988
10,-5,15,0.605461047793456,63.9528468343892
10,-5,16,0.604078830959716,75.0854928963792
10,-5,17,0.57959014844406,86.4872908659649
10,-5,18,0.529557383536061,97.9599185783984
10,-5,19,0.490504331320971,109.321039655729
10,-5,20,0.453300670018208,120.397412137138
10,-5,21,0.37469688286011,131.009888616565
10,-5,22,0.463603008631599,140.992292418847
10,-5,23,0.129068260995722,150.193735763014
10,-5,24,0,158.490124622132
10,-5,25,0,165.782502108727
10,-5,26,0,167.28555667737
10,-5,27,0,164.287652320445
10,-5,28,0,160.216792086707
10,-5,29,0,151.880288359848
10,-5,30,0,143.712192549517
10,-4,-4,0.000210688648809307,0
10,-4,-3,0.00051905596046144,0
10,-4,-2,0.00172500775263029,0
10,-4,-1,0.00678519363551645,0
10,-4,0,0.0282372018993961,0
10,-4,1,0.110697025659003,0
10,-4,2,0.329728881296742,0
10,-4,3,0.554606794481917,0
10,-4,4,0.597817037565365,0
10,-4,5,0.634359156437828,0.277792345014079
10,-4,6,0.630278045439501,1.50100983464768
10,-4,7,0.68199000128845,3.93503558016674
10,-4,8,0.628159610003111,7.66716452544411
10,-4,9,0.680635961719183,12.6841388484102
10,-4,10,0.703798380959279,18.9776263013607
10,-4,11,0.667414376195952,26.4632561155801
10,-4,12,0.636064289135865,35.0102240234379
10,-4,13,0.658936020999871,44.4877823404026
10,-4,14,0.645976142091371,54.7669908306339
10,-4,15,0.635022097970377,65.6833935276819
10,-4,16,0.612250400758138,77.0462004917185
10,-4,17,0.557772121565326,88.6611011712139
10,-4,18,0.528517786789356,100.350177761557
10,-4,19,0.486849857604511,111.921624916763
10,-4,20,0.437527609684498,123.186323459017
10,-4,21,0.349114511162317,133.964760198687
10,-4,22,0.371049947651804,144.10111559955
10,-4,23,0.129497674019262,153.455492149182
10,-4,24,0,161.894648328674
10,-4,25,0,169.305788481472
10,-4,26,0,170.773068359243
10,-4,27,0,167.862253748813
10,-4,28,0,163.523022340646
10,-4,29,0,155.13382109466
10,-4,30,0,147.086663549174
10,-3,-3,0.00107945512526319,0
10,-3,-2,0.00262508890510204,0
10,-3,-1,0.00853248212173134,0
10,-3,0,0.0322384368177771,0
10,-3,1,0.120016388608776,0
10,-3,2,0.34604191320261,0
10,-3,3,0.559852990908359,0
10,-3,4,0.605710633517605,0
10,-3,5,0.642660490980167,0.296470376423474
10,-3,6,0.658969307099883,1.58110563971348
10,-3,7,0.65896284164564,4.13386964011116
10,-3,8,0.663683372272693,7.99930893678955
10,-3,9,0.703087964457688,13.1992782351996
10,-3,10,0.671646467127542,19.6980010558819
10,-3,11,0.651350625484501,27.3874589789177
10,-3,12,0.682978959037177,36.1548171070262
10,-3,13,0.67932499308874,45.8873936451135
10,-3,14,0.67469165654388,56.4277776588771
10,-3,15,0.503802302017022,67.5903037006804
10,-3,16,0.542902103145434,79.1956196987456
10,-3,17,0.537446467611218,91.0577546656873
10,-3,18,0.511418200212568,102.977392679975
10,-3,19,0.466706907661579,114.758403813443
10,-3,20,0.437361663598052,126.223946341179
10,-3,21,0.378783132210826,137.202175254688
10,-3,22,0.338821136601349,147.524942320177
10,-3,23,0.162232662818529,157.040042733612
10,-3,24,0,165.615615848927
10,-3,25,0,173.150848315242
10,-3,26,0,174.602520052555
10,-3,27,0,171.806333022998
10,-3,28,0,167.139835778927
10,-3,29,0,158.769596770624
10,-3,30,0,150.83228284428
10,-2,-2,0.00538830265312239,0
10,-2,-1,0.012857582179182,0
10,-2,0,0.0400817886124704,0
10,-2,1,0.134795882728177,0
10,-2,2,0.367553733349293,0
10,-2,3,0.567403620082697,0
10,-2,4,0.587687726205906,0
10,-2,5,0.628807312879566,0.319058983072653
10,-2,6,0.687640242387898,1.68199139521978
10,-2,7,0.641263712416794,4.35579116182905
10,-2,8,0.70541657955261,8.38388948378824
10,-2,9,0.685964929241383,13.789629008884
10,-2,10,0.674709092199903,20.4990743839436
10,-2,11,0.674942529122853,28.420155642819
10,-2,12,0.70675622330933,37.4591222326049
10,-2,13,0.692955692252542,47.4679197960034
10,-2,14,0.604665021234218,58.2752968140572
10,-2,15,0.566842429553191,69.7138299399515
10,-2,16,0.489472765135999,81.590056122572
10,-2,17,0.559966063625485,93.7049587780202
10,-2,18,0.544632994053067,105.872979916644
10,-2,19,0.462903286922669,117.902184430438
10,-2,20,0.409143943445184,129.60024095743
10,-2,21,0.398598430964582,140.785321984363
10,-2,22,0.392901087614571,151.299292001578
10,-2,23,0.129733300870035,160.993951250881
10,-2,24,0,169.735677067875
10,-2,25,0,177.412115920018
10,-2,26,0,178.849260503404
10,-2,27,0,176.162771354963
10,-2,28,0,171.099013049682
10,-2,29,0,162.836424104144
10,-2,30,0,155.022872007256
10,-1,-1,0.0258196998989195,0
10,-1,0,0.0590221607002736,0
10,-1,1,0.162662319522623,0
10,-1,2,0.399231980188393,0
10,-1,3,0.581358628380585,0
10,-1,4,0.619330506223589,0
10,-1,5,0.686895900036332,0.345555655350521
10,-1,6,0.648221212118287,1.8046165620451
10,-1,7,0.692710827215859,4.61355195865466
10,-1,8,0.684123049128802,8.83883277679462
10,-1,9,0.694995874603252,14.46077110348
10,-1,10,0.670636485689381,21.4121872135572
10,-1,11,0.725975071181927,29.6205734525203
10,-1,12,0.718132909442236,38.9503978836926
10,-1,13,0.66704995458032,49.2557909042939
10,-1,14,0.61820336607514,60.3684430040302
10,-1,15,0.58186569586672,72.1008105373145
10,-1,16,0.631160846018879,84.2717505760002
10,-1,17,0.53771428068719,96.6829882178782
10,-1,18,0.518419081598047,109.130696963191
10,-1,19,0.492281129094963,121.422651705223
10,-1,20,0.465883322368022,133.372188867682
10,-1,21,0.420201583484965,144.795840261503
10,-1,22,0.431481921935036,155.523950966486
10,-1,23,0.129656412792949,165.408150041496
10,-1,24,0,174.319917602631
10,-1,25,0,182.146948667156
10,-1,26,0,183.585039609766
10,-1,27,0,181.015537300156
10,-1,28,0,175.53116389995
10,-1,29,0,167.382902736656
10,-1,30,0,159.670248981131
10,0,0,0.111545869587366,0
10,0,1,0.223873600959848,0
10,0,2,0.452232179896924,0
10,0,3,0.592886227547496,0
10,0,4,0.648015330864846,0
10,0,5,0.691410918046351,0.376854375622726
10,0,6,0.67548449242777,1.94966442311512
10,0,7,0.698310068801299,4.9305057226434
10,0,8,0.66113438344349,9.37436141542304
10,0,9,0.703640712874636,15.2476660094866
10,0,10,0.725674130634445,22.5008720748073
10,0,11,0.710385767735426,31.0208598407771
10,0,12,0.686448017123574,40.6794892381677
10,0,13,0.642486851662353,51.3159021449694
10,0,14,0.630332509194708,62.7666564436032
10,0,15,0.633239789617973,74.8415014409601
10,0,16,0.610750344694154,87.344337115977
10,0,17,0.534957807698102,100.079333230359
10,0,18,0.571029948877847,112.840475445748
10,0,19,0.516380368800622,125.426816583798
10,0,20,0.417908726022202,137.650134026636
10,0,21,0.384003586482128,149.326472764724
10,0,22,0.467345951168369,160.285052000474
10,0,23,0.0970804560378849,170.372351807846
10,0,24,0,179.45477694187
10,0,25,0,187.421552070229
10,0,26,0,188.843400818099
10,0,27,0,186.3767705617
10,0,28,0,180.468051981555
10,0,29,0,172.433488953603
10,0,30,0,164.826253959537
10,1,1,0.359080028334666,0
10,1,2,0.546409033179969,0
10,1,3,0.613722376162014,0
10,1,4,0.661172009479217,0
10,1,5,0.721642905798058,0.422290475687044
10,1,6,0.695552629309206,2.13203398648627
10,1,7,0.705593204501087,5.32587239704709
10,1,8,0.727257859945977,10.0296613382922
10,1,9,0.72933511809223,16.2194741337505
10,1,10,0.690165814250867,23.8133056863787
10,1,11,0.704018979966333,32.694649670018
10,1,12,0.690333436748916,42.7302673930136
10,1,13,0.703148268715313,53.7549620088304
10,1,14,0.68028275161495,65.5947693216817
10,1,15,0.500520257416417,78.0538146029476
10,1,16,0.614423325070489,90.9334661374081
10,1,17,0.349705290316717,104.027964593064
10,1,18,0.513893624882803,117.128230411666
10,1,19,0.410626893984949,130.029454210276
10,1,20,0.39045131716746,142.535793332065
10,1,21,0.357058769684344,154.465692436343
10,1,22,0.448722238610451,165.65006331824
10,1,23,0.0322858071057365,175.935903826958
10,1,24,0,185.190350475256
10,1,25,0,193.303291615291
10,1,26,0,194.715794612976
10,1,27,0,192.355624445129
10,1,28,0,186.027171234699
10,1,29,0,178.104431788842
10,1,30,0,170.598131724853
10,2,2,0.625165569797551,0
10,2,3,0.633973825928528,0
10,2,4,0.670208092195856,0
10,2,5,0.744037233031872,0.489490037853719
10,2,6,0.7235703219602,2.38394080927043
10,2,7,0.759106643126177,5.84558423399796
10,2,8,0.751810697306504,10.888346457692
10,2,9,0.744360962690616,17.4576667823716
10,2,10,0.74884019812284,25.4631159185174
10,2,11,0.76207865491639,34.7825268572995
10,2,12,0.716426207179111,45.2648302184955
10,2,13,0.711314352529046,56.7408569478232
