"Month","Tmin","Tmax","CP"
10,-15,-4,2.57432324078118e-05
10,-15,-3,0.000132227946866737
10,-15,-2,0.000669162026631729
10,-15,-1,0.00332458790294213
10,-15,0,0.0159945669518917
10,-15,1,0.0702819265731125
10,-15,2,0.231374285840096
10,-15,3,0.436639023898718
10,-15,4,0.45748701448644
10,-15,5,0.502325938780601
10,-15,6,0.519342432629736
10,-15,7,0.537136447670747
10,-15,8,0.513550946268844
10,-15,9,0.534752198921466
10,-15,10,0.550117034135125
10,-15,11,0.554734512361561
10,-15,12,0.556058838145791
10,-15,13,0.535907897485874
10,-15,14,0.499329451495095
10,-15,15,0.500637531784562
10,-15,16,0.507866137162404
10,-15,17,0.528199807428364
10,-15,18,0.528063173408007
10,-15,19,0.44620604665349
10,-15,20,0.374240636714376
10,-15,21,0.288982425819079
10,-15,22,0.259387351448757
10,-15,23,0
10,-15,24,0
10,-15,25,0
10,-15,26,0
10,-15,27,0
10,-15,28,0
10,-15,29,0
10,-15,30,0
10,-14,-14,4.8318827791989e-12
10,-14,-13,1.34689368724992e-11
10,-14,-12,5.29267728350183e-11
10,-14,-11,2.51099640883418e-10
10,-14,-10,1.2862314541038e-09
10,-14,-9,6.77968086230694e-09
10,-14,-8,3.59949785841015e-08
10,-14,-7,1.909315797693e-07
10,-14,-6,1.00700561301201e-06
10,-14,-5,5.2651006797611e-06
10,-14,-4,2.72333832687282e-05
10,-14,-3,0.000139125253793739
10,-14,-2,0.000700736596260492
10,-14,-1,0.00346671703887595
10,-14,0,0.0166112568467166
10,-14,1,0.0726659908752409
10,-14,2,0.237969119835699
10,-14,3,0.447234033033016
10,-14,4,0.471093521854901
10,-14,5,0.49235707460736
10,-14,6,0.536070138318133
10,-14,7,0.545083937106441
10,-14,8,0.541128055415562
10,-14,9,0.556645552863693
10,-14,10,0.561409303268216
10,-14,11,0.583297731059245
10,-14,12,0.530014777600486
10,-14,13,0.5185530626652
10,-14,14,0.50088968002571
10,-14,15,0.518021115945426
10,-14,16,0.535854689311033
10,-14,17,0.544304979255144
10,-14,18,0.517155915112845
10,-14,19,0.426223819987931
10,-14,20,0.371065765299385
10,-14,21,0.307902372472589
10,-14,22,0.294213929707784
10,-14,23,0
10,-14,24,0
10,-14,25,0
10,-14,26,0
10,-14,27,0
10,-14,28,0
10,-14,29,0
10,-14,30,0
10,-13,-13,3.09009235629033e-11
10,-13,-12,8.51854785253024e-11
10,-13,-11,3.29918106466392e-10
10,-13,-10,1.53661810721933e-09
10,-13,-9,7.72834321145032e-09
10,-13,-8,3.99817131224802e-08
10,-13,-7,2.08555941599631e-07
10,-13,-6,1.08677366686976e-06
10,-13,-5,5.62944578414875e-06
10,-13,-4,2.88989872002936e-05
10,-13,-3,0.000146705810324717
10,-13,-2,0.000734938660447418
10,-13,-1,0.00361870858271564
10,-13,0,0.0172629478698732
10,-13,1,0.0751554333696743
10,-13,2,0.244789578348809
10,-13,3,0.457993186568944
10,-13,4,0.485213287123583
10,-13,5,0.519395919992215
10,-13,6,0.550794042553584
10,-13,7,0.544013922078145
10,-13,8,0.556836756418972
10,-13,9,0.570237211154615
10,-13,10,0.559598038150306
